,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
2,2016-08-27,20:00,Ligue 1,Matchweek 3,Sat,Home,D,1,1,Lille,52.0,16355.0,Paul Baysse,4-3-3,François Letexier,Match Report,,13.0,6.0,,0.0,0.0,2017,Nice
3,2016-09-11,20:45,Ligue 1,Matchweek 4,Sun,Home,W,3,2,Marseille,65.0,31194.0,Paul Baysse,3-5-2,Franck Schneider,Match Report,,18.0,7.0,,1.0,1.0,2017,Nice
5,2016-09-18,15:00,Ligue 1,Matchweek 5,Sun,Away,D,1,1,Montpellier,53.0,12272.0,Paul Baysse,3-1-4-2,Lionel Jaffredo,Match Report,,9.0,4.0,,0.0,0.0,2017,Nice
6,2016-09-21,19:00,Ligue 1,Matchweek 6,Wed,Home,W,4,0,Monaco,50.0,21867.0,Paul Baysse,3-5-1-1,Benoît Bastien,Match Report,,9.0,7.0,,0.0,1.0,2017,Nice
7,2016-09-25,17:00,Ligue 1,Matchweek 7,Sun,Away,W,1,0,Nancy,59.0,17580.0,Paul Baysse,3-5-1-1,Antony Gautier,Match Report,,13.0,4.0,,0.0,0.0,2017,Nice
9,2016-10-02,17:00,Ligue 1,Matchweek 8,Sun,Home,W,2,1,Lorient,54.0,17816.0,Paul Baysse,3-5-1-1,Ruddy Buquet,Match Report,,8.0,2.0,,0.0,0.0,2017,Nice
10,2016-10-14,20:45,Ligue 1,Matchweek 9,Fri,Home,W,2,0,Lyon,59.0,28139.0,Paul Baysse,3-5-1-1,Ruddy Buquet,Match Report,,16.0,6.0,,0.0,1.0,2017,Nice
12,2016-10-23,17:00,Ligue 1,Matchweek 10,Sun,Away,W,4,2,Metz,70.0,17994.0,Dante,4-3-3,François Letexier,Match Report,,17.0,8.0,,1.0,1.0,2017,Nice
13,2016-10-30,15:00,Ligue 1,Matchweek 11,Sun,Home,W,4,1,Nantes,63.0,24418.0,Dante,4-3-3,Sébastien Moreira,Match Report,,12.0,7.0,,0.0,0.0,2017,Nice
15,2016-11-06,15:00,Ligue 1,Matchweek 12,Sun,Away,L,0,1,Caen,68.0,16225.0,Dante,4-3-3,Johan Hamel,Match Report,,4.0,1.0,,0.0,0.0,2017,Nice
16,2016-11-20,20:45,Ligue 1,Matchweek 13,Sun,Away,W,1,0,Saint-Étienne,65.0,30004.0,Dante,4-3-3,Franck Schneider,Match Report,,15.0,5.0,,0.0,0.0,2017,Nice
18,2016-11-27,17:00,Ligue 1,Matchweek 14,Sun,Home,D,1,1,Bastia,67.0,20856.0,Dante,4-3-3,Lionel Jaffredo,Match Report,,12.0,7.0,,0.0,0.0,2017,Nice
19,2016-11-30,19:00,Ligue 1,Matchweek 15,Wed,Away,W,1,0,Guingamp,51.0,14680.0,Dante,4-3-3,Benoît Millot,Match Report,,12.0,4.0,,0.0,0.0,2017,Nice
20,2016-12-04,20:45,Ligue 1,Matchweek 16,Sun,Home,W,3,0,Toulouse,67.0,16835.0,Dante,4-3-3,Mikael Lesage,Match Report,,11.0,6.0,,0.0,0.0,2017,Nice
22,2016-12-11,20:45,Ligue 1,Matchweek 17,Sun,Away,D,2,2,Paris S-G,40.0,47665.0,Dante,3-5-1-1,Clément Turpin,Match Report,,5.0,3.0,,0.0,0.0,2017,Nice
24,2016-12-18,15:00,Ligue 1,Matchweek 18,Sun,Home,W,2,1,Dijon,66.0,29229.0,Dante,4-3-3,Benoît Millot,Match Report,,8.0,3.0,,1.0,1.0,2017,Nice
25,2016-12-21,20:50,Ligue 1,Matchweek 19,Wed,Away,D,0,0,Bordeaux,64.0,27614.0,Maxime Le Marchand,4-3-3,Mikael Lesage,Match Report,,15.0,4.0,,0.0,0.0,2017,Nice
27,2017-01-15,15:00,Ligue 1,Matchweek 20,Sun,Home,D,0,0,Metz,62.0,21502.0,Paul Baysse,3-4-3,Bartolomeu Varela,Match Report,,12.0,2.0,,0.0,0.0,2017,Nice
28,2017-01-20,20:45,Ligue 1,Matchweek 21,Fri,Away,D,1,1,Bastia,71.0,9757.0,Dante,3-5-2,Clément Turpin,Match Report,,17.0,5.0,,0.0,0.0,2017,Nice
29,2017-01-29,15:00,Ligue 1,Matchweek 22,Sun,Home,W,3,1,Guingamp,54.0,20063.0,Dante,4-3-3,Jérôme Miguelgorry,Match Report,,9.0,4.0,,0.0,0.0,2017,Nice
30,2017-02-04,17:00,Ligue 1,Matchweek 23,Sat,Away,L,0,3,Monaco,65.0,16049.0,Paul Baysse,3-4-3,Benoît Bastien,Match Report,,11.0,1.0,,0.0,0.0,2017,Nice
31,2017-02-08,19:00,Ligue 1,Matchweek 24,Wed,Home,W,1,0,Saint-Étienne,65.0,18225.0,Paul Baysse,4-3-3,Amaury Delerue,Match Report,,14.0,5.0,,0.0,0.0,2017,Nice
32,2017-02-12,15:00,Ligue 1,Matchweek 25,Sun,Away,D,2,2,Rennes,63.0,25665.0,Paul Baysse,4-3-3,Johan Hamel,Match Report,,6.0,3.0,,0.0,0.0,2017,Nice
33,2017-02-18,20:00,Ligue 1,Matchweek 26,Sat,Away,W,1,0,Lorient,47.0,10537.0,Paul Baysse,4-3-3,Tony Chapron,Match Report,,5.0,4.0,,0.0,0.0,2017,Nice
34,2017-02-24,20:45,Ligue 1,Matchweek 27,Fri,Home,W,2,1,Montpellier,55.0,18998.0,Paul Baysse,4-3-3,Franck Schneider,Match Report,,12.0,4.0,,0.0,0.0,2017,Nice
35,2017-03-04,20:00,Ligue 1,Matchweek 28,Sat,Away,W,1,0,Dijon,66.0,10209.0,Paul Baysse,4-3-3,Bartolomeu Varela,Match Report,,11.0,5.0,,0.0,0.0,2017,Nice
36,2017-03-10,19:00,Ligue 1,Matchweek 29,Fri,Home,D,2,2,Caen,67.0,23640.0,Paul Baysse,4-3-3,François Letexier,Match Report,,14.0,4.0,,0.0,0.0,2017,Nice
37,2017-03-18,17:00,Ligue 1,Matchweek 30,Sat,Away,D,1,1,Nantes,62.0,25854.0,Dante,4-2-3-1,Benoît Millot,Match Report,,5.0,2.0,,0.0,0.0,2017,Nice
38,2017-04-02,21:00,Ligue 1,Matchweek 31,Sun,Home,W,2,1,Bordeaux,54.0,19669.0,Dante,4-2-3-1,Benoît Bastien,Match Report,,10.0,4.0,,1.0,1.0,2017,Nice
39,2017-04-07,20:45,Ligue 1,Matchweek 32,Fri,Away,W,2,1,Lille,59.0,32107.0,Dante,4-2-3-1,Amaury Delerue,Match Report,,12.0,7.0,,0.0,0.0,2017,Nice
40,2017-04-15,17:00,Ligue 1,Matchweek 33,Sat,Home,W,3,1,Nancy,66.0,22518.0,Dante,4-2-3-1,Mikael Lesage,Match Report,,14.0,5.0,,1.0,1.0,2017,Nice
41,2017-04-23,15:00,Ligue 1,Matchweek 34,Sun,Away,D,1,1,Toulouse,71.0,15232.0,Dante,4-2-3-1,Franck Schneider,Match Report,,14.0,3.0,,0.0,0.0,2017,Nice
42,2017-04-30,21:00,Ligue 1,Matchweek 35,Sun,Home,W,3,1,Paris S-G,34.0,33190.0,Paul Baysse,4-2-3-1,Ruddy Buquet,Match Report,,6.0,3.0,,0.0,0.0,2017,Nice
43,2017-05-07,21:00,Ligue 1,Matchweek 36,Sun,Away,L,1,2,Marseille,55.0,61685.0,Paul Baysse,4-2-3-1,Antony Gautier,Match Report,,17.0,5.0,,0.0,0.0,2017,Nice
44,2017-05-14,21:00,Ligue 1,Matchweek 37,Sun,Home,L,0,2,Angers,67.0,32446.0,Paul Baysse,4-2-3-1,Mikael Lesage,Match Report,,12.0,5.0,,0.0,0.0,2017,Nice
45,2017-05-20,21:00,Ligue 1,Matchweek 38,Sat,Away,D,3,3,Lyon,40.0,50080.0,Jean Seri,3-5-1-1,Jérôme Miguelgorry,Match Report,,14.0,7.0,,1.0,1.0,2017,Nice
1,2016-08-14,15:00,Ligue 1,Matchweek 1,Sun,Away,W,3,0,Nancy,58.0,18885.0,Maxime Gonalons,4-3-3,Amaury Delerue,Match Report,,9.0,7.0,,0.0,0.0,2017,Lyon
2,2016-08-19,20:45,Ligue 1,Matchweek 2,Fri,Home,W,2,0,Caen,69.0,41171.0,Maxime Gonalons,4-3-3,Benoît Millot,Match Report,,22.0,7.0,,2.0,2.0,2017,Lyon
3,2016-08-27,17:00,Ligue 1,Matchweek 3,Sat,Away,L,2,4,Dijon,68.0,10369.0,Maxime Gonalons,4-3-3,Johan Hamel,Match Report,,25.0,9.0,,0.0,0.0,2017,Lyon
4,2016-09-10,17:00,Ligue 1,Matchweek 4,Sat,Home,L,1,3,Bordeaux,50.0,40976.0,Maxime Gonalons,4-3-3,Ruddy Buquet,Match Report,,11.0,4.0,,0.0,0.0,2017,Lyon
6,2016-09-18,20:45,Ligue 1,Matchweek 5,Sun,Away,D,0,0,Marseille,55.0,32564.0,Corentin Tolisso,3-5-1-1,Antony Gautier,Match Report,,14.0,1.0,,0.0,0.0,2017,Lyon
7,2016-09-21,19:00,Ligue 1,Matchweek 6,Wed,Home,W,5,1,Montpellier,67.0,32193.0,Corentin Tolisso,3-5-1-1,Bartolomeu Varela,Match Report,,15.0,8.0,,1.0,1.0,2017,Lyon
8,2016-09-24,17:00,Ligue 1,Matchweek 7,Sat,Away,L,0,1,Lorient,64.0,10628.0,Corentin Tolisso,3-5-1-1,Mikael Lesage,Match Report,,18.0,8.0,,0.0,0.0,2017,Lyon
10,2016-10-02,20:45,Ligue 1,Matchweek 8,Sun,Home,W,2,0,Saint-Étienne,49.0,57050.0,Corentin Tolisso,3-5-1-1,Clément Turpin,Match Report,,14.0,7.0,,0.0,0.0,2017,Lyon
11,2016-10-14,20:45,Ligue 1,Matchweek 9,Fri,Away,L,0,2,Nice,41.0,28139.0,Maxime Gonalons,3-5-1-1,Ruddy Buquet,Match Report,,4.0,3.0,,0.0,0.0,2017,Lyon
