,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
16,2017-07-01,19:00,Série A,Matchweek 11,Sat,Away,D,1,1,Atl Goianiense,67.0,5898.0,David Braz,4-2-3-1,Claudio Francisco Lima e Silva,Match Report,,13,2,,0,0,2017,Santos
18,2017-07-09,19:00,Série A,Matchweek 12,Sun,Home,W,3,2,São Paulo,51.0,10322.0,Renato,4-2-3-1,Sandro Ricci,Match Report,,17,8,,0,0,2017,Santos
19,2017-07-12,19:30,Série A,Matchweek 13,Wed,Away,W,1,0,Atlético Mineiro,37.0,12949.0,David Braz,4-2-3-1,Marcelo de Lima Henrique,Match Report,,10,3,,0,1,2017,Santos
20,2017-07-16,16:00,Série A,Matchweek 14,Sun,Away,D,0,0,Vasco da Gama,56.0,,David Braz,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,4,0,,0,0,2017,Santos
21,2017-07-19,19:30,Série A,Matchweek 15,Wed,Home,W,1,0,Chapecoense,59.0,5533.0,David Braz,4-2-3-1,Elmo Alves Resende Cunha,Match Report,,7,5,,0,0,2017,Santos
22,2017-07-23,11:00,Série A,Matchweek 16,Sun,Home,W,3,0,Bahia,51.0,32869.0,David Braz,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,,11,5,,0,0,2017,Santos
23,2017-07-30,19:00,Série A,Matchweek 17,Sun,Away,D,1,1,Grêmio,41.0,30034.0,Ricardo Oliveira,4-2-3-1,Braulio da Silva Machado,Match Report,,4,1,,0,0,2017,Santos
24,2017-08-02,21:45,Série A,Matchweek 18,Wed,Home,W,3,2,Flamengo,46.0,27030.0,Ricardo Oliveira,4-2-3-1,Eduardo Tomaz De Aquino Valadão,Match Report,,14,5,,0,0,2017,Santos
25,2017-08-06,19:00,Série A,Matchweek 19,Sun,Away,D,0,0,Avaí,61.0,5803.0,Ricardo Oliveira,4-2-3-1,Pablo Dos Santos Alves,Match Report,,13,3,,0,0,2017,Santos
27,2017-08-14,20:00,Série A,Matchweek 20,Mon,Home,D,0,0,Fluminense,52.0,22018.0,Ricardo Oliveira,4-2-3-1,André Luiz de Freitas Castro,Match Report,,15,3,,0,0,2017,Santos
28,2017-08-20,19:00,Série A,Matchweek 21,Sun,Away,D,0,0,Coritiba,55.0,8426.0,David Braz,4-2-3-1,Sandro Ricci,Match Report,,20,2,,0,0,2017,Santos
29,2017-08-27,19:00,Série A,Matchweek 22,Sun,Away,D,1,1,Cruzeiro,46.0,12055.0,Ricardo Oliveira,4-2-3-1,Anderson Daronco,Match Report,,9,3,,0,0,2017,Santos
30,2017-09-10,16:00,Série A,Matchweek 23,Sun,Home,W,2,0,Corinthians,44.0,12567.0,Ricardo Oliveira,4-2-3-1,Raphael Claus,Match Report,,14,9,,0,0,2017,Santos
32,2017-09-16,19:00,Série A,Matchweek 24,Sat,Away,L,0,2,Botafogo (RJ),50.0,5780.0,Vanderlei,4-2-3-1,Igor Junior Benevenuto,Match Report,,16,0,,0,0,2017,Santos
